dynamic_window_times
1997-09-21 05:41:08
1997-09-22 16:23:59
1997-09-23 17:06:46
1997-09-24 17:35:39
1997-09-25 21:35:12
1997-09-26 21:51:42
1997-09-27 22:49:06
1997-09-28 23:15:36
1997-09-30 17:57:44
1997-10-01 17:57:53
1997-10-02 18:41:51
1997-10-03 21:26:05
1997-10-04 21:26:05
1997-10-06 04:08:20
1997-10-07 04:08:50
1997-10-08 04:45:21
1997-10-09 05:48:27
1997-10-10 08:24:54
1997-10-11 19:55:46
1997-10-12 20:25:23
1997-10-13 20:28:19
1997-10-14 21:35:04
1997-10-15 22:20:33
1997-10-17 03:27:36
1997-10-18 03:30:00
1997-10-19 03:39:33
1997-10-20 05:44:40
1997-10-21 15:53:05
1997-10-22 16:26:30
1997-10-23 16:55:24
1997-10-24 20:16:33
1997-10-25 21:23:49
1997-10-26 21:49:36
1997-10-28 00:14:55
1997-10-29 00:52:31
1997-10-30 02:46:45
1997-11-01 00:33:44
1997-11-02 03:24:59
1997-11-03 05:08:37
1997-11-04 22:30:05
1997-11-05 23:18:47
1997-11-06 23:18:49
1997-11-07 23:19:04
1997-11-08 23:51:56
1997-11-10 00:20:02
1997-11-11 00:44:30
1997-11-12 02:10:13
1997-11-13 02:20:52
1997-11-14 05:23:06
1997-11-15 05:51:26
1997-11-16 08:21:31
1997-11-17 14:28:17
1997-11-18 14:46:02
1997-11-19 15:03:55
1997-11-20 15:19:48
1997-11-21 15:27:55
1997-11-22 15:43:17
1997-11-23 18:37:28
1997-11-24 18:37:36
1997-11-25 19:47:57
1997-11-26 19:48:00
1997-11-27 20:17:40
1997-11-28 22:50:02
1997-11-29 23:37:42
1997-11-30 23:38:10
1997-12-01 23:40:56
1997-12-02 23:57:14
1997-12-04 02:06:37
1997-12-05 03:17:13
1997-12-06 03:17:29
1997-12-07 05:11:13
1997-12-08 07:39:07
1997-12-09 07:39:08
1997-12-10 17:26:00
1997-12-12 18:37:45
1997-12-13 21:20:40
1997-12-14 22:37:17
1997-12-17 01:05:49
1997-12-18 01:06:27
1997-12-19 06:35:09
1997-12-20 07:00:51
1997-12-21 09:33:54
1997-12-22 15:36:11
1997-12-23 16:53:44
1997-12-24 21:17:38
1997-12-26 02:22:48
1997-12-27 03:38:30
1997-12-28 03:51:21
1997-12-29 03:55:43
1997-12-30 03:55:53
1997-12-31 04:26:55
1998-01-01 04:57:52
1998-01-02 04:57:53
1998-01-03 04:58:04
1998-01-04 05:36:40
1998-01-05 05:40:03
1998-01-06 05:40:23
1998-01-07 05:50:03
1998-01-08 06:28:11
1998-01-09 07:03:46
1998-01-10 07:21:33
1998-01-11 08:35:32
1998-01-12 09:38:46
1998-01-13 14:22:00
1998-01-14 15:54:25
1998-01-15 17:25:24
1998-01-16 17:27:58
1998-01-17 18:50:00
1998-01-18 19:20:37
1998-01-19 20:21:23
1998-01-20 21:34:45
1998-01-21 21:44:31
1998-01-23 07:41:57
1998-01-24 19:19:35
1998-01-25 19:37:15
1998-01-26 20:18:09
1998-01-27 20:27:02
1998-01-28 20:28:21
1998-01-29 21:31:26
1998-01-30 21:44:09
1998-01-31 22:42:07
1998-02-01 23:29:15
1998-02-03 01:00:43
1998-02-04 03:32:01
1998-02-05 06:54:28
1998-02-06 11:04:01
1998-02-07 21:25:47
1998-02-08 23:45:05
1998-02-09 23:45:15
1998-02-11 01:33:28
1998-02-12 03:11:22
1998-02-13 06:14:21
1998-02-14 06:18:12
1998-02-15 07:12:56
1998-02-16 07:44:05
1998-02-17 13:31:07
1998-02-18 14:29:41
1998-02-19 18:17:25
1998-02-20 19:47:34
1998-02-21 22:12:40
1998-02-22 22:35:25
1998-02-24 01:21:17
1998-02-25 09:53:48
1998-02-26 12:22:27
1998-02-27 12:23:22
1998-02-28 18:05:56
1998-03-01 20:10:58
1998-03-02 21:34:53
1998-03-03 21:37:33
1998-03-04 23:29:03
1998-03-05 23:33:08
1998-03-07 00:04:03
1998-03-08 01:20:04
1998-03-09 01:24:51
1998-03-10 01:25:22
1998-03-11 15:39:25
1998-03-12 16:38:22
1998-03-13 19:16:26
1998-03-14 21:21:22
1998-03-16 00:30:58
1998-03-17 03:51:12
1998-03-18 19:47:27
1998-03-19 22:35:20
1998-03-21 04:35:47
1998-03-22 14:13:16
1998-03-23 14:21:16
1998-03-24 17:40:59
1998-03-25 21:56:42
1998-03-27 00:57:12
1998-03-28 00:59:42
1998-03-29 13:12:45
1998-03-30 14:19:29
1998-03-31 14:30:00
1998-04-01 14:42:43
1998-04-02 18:53:11
1998-04-03 19:52:29
1998-04-04 19:55:35
1998-04-05 23:50:13
1998-04-06 23:51:15
1998-04-07 23:55:43
1998-04-09 01:31:37
1998-04-10 03:56:03
1998-04-11 10:02:59
1998-04-12 14:07:21
1998-04-13 14:13:20
1998-04-14 14:40:05
1998-04-15 17:37:33
1998-04-16 23:06:24
1998-04-18 01:16:01
1998-04-19 03:05:30
1998-04-20 06:37:01
1998-04-21 08:37:19
1998-04-22 16:00:37
